"181","San Carlos Charter Learning Center","1","2022-08-22 01:55:30","2022-08-22 01:55:30"
"182","San Domenico Middle School","1","2022-08-22 01:55:30","2022-08-22 01:55:30"
"183","San Domenico School","1","2022-08-22 01:55:30","2022-08-22 01:55:30"
"184","San Francisco Day School","1","2022-08-22 01:55:30","2022-08-22 01:55:30"
"185","San Francisco Friends School","1","2022-08-22 01:55:30","2022-08-22 01:55:30"
"186","San Francisco Pacific Academy","1","2022-08-22 01:55:30","2022-08-22 01:55:30"
"187","San Francisco University High School","1","2022-08-22 01:55:30","2022-08-22 01:55:30"
"188","San Francisco Waldorf High School","1","2022-08-22 01:55:30","2022-08-22 01:55:30"
"189","San Mateo High School","1","2022-08-22 01:55:30","2022-08-22 01:55:30"
"190","School of the Epiphany","1","2022-08-22 01:55:30","2022-08-22 01:55:30"
"191","School of the Madeleine","1","2022-08-22 01:55:30","2022-08-22 01:55:30"
"192","Sea Crest School","1","2022-08-22 01:55:30","2022-08-22 01:55:30"
"193","Sinaloa Middle School","1","2022-08-22 01:55:30","2022-08-22 01:55:30"
"194","Spanish Infusion School","1","2022-08-22 01:55:30","2022-08-22 01:55:30"
"195","Stratford School","1","2022-08-22 01:55:30","2022-08-22 01:55:30"
"196","Stuart Hall for Boys","1","2022-08-22 01:55:30","2022-08-22 01:55:30"
"197","Stuart Hall High School","1","2022-08-22 01:55:30","2022-08-22 01:55:30"
"198","Summit Shasta Public School","1","2022-08-22 01:55:30","2022-08-22 01:55:30"
"199","Synergy School","1","2022-08-22 01:55:30","2022-08-22 01:55:30"
"200","Tamalpais High School","1","2022-08-22 01:55:30","2022-08-22 01:55:30"
"201","Taylor Middle School","1","2022-08-22 01:55:30","2022-08-22 01:55:30"
"202","Terra Linda High School","1","2022-08-22 01:55:30","2022-08-22 01:55:30"
"203","Terra Nova High School","1","2022-08-22 01:55:30","2022-08-22 01:55:30"
"204","The Bay School of San Francisco","1","2022-08-22 01:55:30","2022-08-22 01:55:30"
"205","The Brandeis School of Marin","1","2022-08-22 01:55:30","2022-08-22 01:55:30"
"206","The Brandeis School of San Francisco","1","2022-08-22 01:55:30","2022-08-22 01:55:30"
"207","The Branson School","1","2022-08-22 01:55:30","2022-08-22 01:55:30"
"208","The College Preparatory School","1","2022-08-22 01:55:30","2022-08-22 01:55:30"
"209","The Hamlin School","1","2022-08-22 01:55:30","2022-08-22 01:55:30"
"210","The Mission Preparatory School","1","2022-08-22 01:55:30","2022-08-22 01:55:30"
"211","The Nueva School","1","2022-08-22 01:55:30","2022-08-22 01:55:30"
"212","The San Francisco School","1","2022-08-22 01:55:30","2022-08-22 01:55:30"
"213","Thomas R. Pollicita School","1","2022-08-22 01:55:30","2022-08-22 01:55:30"
"214","Tierra Linda Middle School","1","2022-08-22 01:55:30","2022-08-22 01:55:30"
"215","Town School for Boys","1","2022-08-22 01:55:30","2022-08-22 01:55:30"
"216","Urban School of San Francisco","1","2022-08-22 01:55:30","2022-08-22 01:55:30"
"217","Urban Student Athlete Development Academy","1","2022-08-22 01:55:30","2022-08-22 01:55:30"
"218","Vallemar School","1","2022-08-22 01:55:30","2022-08-22 01:55:30"
"219","West Portal Lutheran School","1","2022-08-22 01:55:30","2022-08-22 01:55:30"
"220","Westborough Middle School","1","2022-08-22 01:55:30","2022-08-22 01:55:30"
"221","Westmoor High School","1","2022-08-22 01:55:30","2022-08-22 01:55:30"
"222","White Hill Middle School","1","2022-08-22 01:55:30","2022-08-22 01:55:30"
"223","Willie Brown Jr. Middle School","1","2022-08-22 01:55:30","2022-08-22 01:55:30"
"224","Willow Creek Academy","1","2022-08-22 01:55:30","2022-08-22 01:55:30"
"225","Woodside Elementary School","1","2022-08-22 01:55:30","2022-08-22 01:55:30"
"226","Woodside Priory School","1","2022-08-22 01:55:30","2022-08-22 01:55:30"
"227","Zion Lutheran School","1","2022-08-22 01:55:30","2022-08-22 01:55:30"
"228","Not Listed","1",NULL,NULL
